mahjong;cambodia
ascii;milk
george_ii_of_great_britain;gravitation
windows_xp;podcasting
electrical_engineering;china
muhammad_ali_jinnah;meat
tuna;piccadilly_circus
anglicanism;amur
country;african_slave_trade
ancient_greece;flute
tornado;petroleum
frederick_douglass;corinthian_war
ganesha;san_marino
plymouth;industrial_revolution
retreat_of_glaciers_since_1850;hurricane_mitch
pope_john_paul_ii;trout
spain;belgium
natural_disaster;arithmetic
east_timor;hawk-eye
property;hamburg
pyongyang;nuclear_fission
einsteinium;moon_landing
alice%27s_adventures_in_wonderland;zion_national_park
sitting_bull;psr_b1620-26c
tehran;marco_polo
uranium;european_space_agency
ferdinand_magellan;guangzhou
ununpentium;irish_poetry
thulium;hirohito
kookaburra;ichthyosaur
fluorine;the_legend_of_zelda_series
french_revolution;vietnam_war
jewellery;uranium
anaconda;japan
b_vitamins;yenisei_river
great_red_spot;conakry
dune;indian_ocean
playing_card;cambrian
linear_algebra;electricity
space_shuttle_challenger_disaster;lake_turkana
link_%28the_legend_of_zelda%29;gray_reef_shark
weasel;adolf_hitler
itunes;akira_kurosawa
antarctica;antelope
sonic_the_hedgehog_%28character%29;juvenile_delinquency
the_lord_of_the_rings_film_trilogy;pollinator
pollution;himno_nacional_mexicano
fine_art;japan
mark_webber;british_empire
battle_of_leyte_gulf;sea_level_rise
insect;eye
cocoa;coffee
battle_of_cannae;election
sparrowhawk;franks
gmail;tiananmen_square_protests_of_1989
butter;indian_independence_movement
heraclius;myocardial_infarction
las_palmas_de_gran_canaria;babe_ruth
google;hinduism
onion_dome;albigensian_crusade
arctic_monkeys;national_parks_of_england_and_wales
lerwick;ottoman_empire
love;film
unix;ukraine
integrated_circuit;sulfuric_acid
doha;rabies
radish;odyssey
ariel_sharon;latvia
domesday_book;oregon
mars;cinema_of_the_united_states
arab_league;kiribati
badminton;cricket
pterosaur;levee_failures_in_greater_new_orleans%2c_2005
lyme_disease;mario
day;cologne
morecambe_and_wise;political_integration_of_india
india;los_angeles%2c_california
extraterrestrial_life;lake_superior
insect;canadian_charter_of_rights_and_freedoms
great_rift_valley;mount_rushmore
frank_lloyd_wright;poetry
16th_century;1st_century
volcano;northern_mariana_islands
byzantine_empire;lesotho
ivory;archaeology
ulawun;magnesium
garden;film
effect_of_hurricane_katrina_on_new_orleans;jupiter
kurt_cobain;gulf_of_mexico
clothing;suffrage
looney_tunes;dna
isan;cormorant
mauna_loa;marshall_plan
pterosaur;firearm
turkey;urial
vertebrate;rer
1896_summer_olympics;leonardo_da_vinci
archbishop_of_canterbury;mount_rainier
barbary_lion;keira_knightley
nitrogen_fixation;soil_salination
nazism;zebra
warsaw;great_britain
mount_baker;virgil
local_government_in_the_united_kingdom;botswana
organization;frederick_ii%2c_holy_roman_emperor
louis_pasteur;chicken
tiger_woods;saxophone
zinc;great_rift_valley
alcohol;washington_metro
burkina_faso;flag_of_mexico
radium;jurassic
mitochondrion;witold_pilecki
polar_ice_cap;milk
bible;bamako
virus;fertilizer
popular_culture;ancient_egypt
james_ii_of_england;blackbird
pea;south_korea
iran;jesus
venus;nintendo
gothenburg;boat
uranium;chennai
holmium;animal
sauropodomorpha;gordon_brown
earthquake;sunlight
socialism;victoria%2c_seychelles
islam;fr%c3%a9d%c3%a9ric_chopin
lima;hyde_park%2c_london
order_of_the_bath;gadolinium
invasion_of_grenada;mumbai
santa_claus;coccinellidae
stephen_harper;england
dna_repair;cheese
life;creationism
cattle;lead
confucianism;shroud_of_turin
the_brothers_karamazov;battle_of_the_bulge
geography_of_ireland;north_america
sanskrit;set
color;cuba
matilda_of_boulogne;william_tecumseh_sherman
ununquadium;el_salvador
vegetation;colima_%28volcano%29
french_revolution;flag_of_the_republic_of_china
shark;kuiper_belt
flag_of_mexico;rapping
beach;philosophy
organization;jurassic
owl;statue_of_zeus_at_olympia
genealogy;ancient_greece
global_warming;wood
baruch_spinoza;swastika
black_wildebeest;belfast
francis_crick;calcium
speaker_of_the_british_house_of_commons;kuwait
novel;kuala_lumpur
martin_luther_king%2c_jr.;anatomy
gas_turbine-electric_locomotive;london
tobacco_smoking;mount_st._helens
russia;germany
corporation;qin_dynasty
algorithm;spanish_armada
south_america;mercia
baseball;panama_canal
tree_frog;homestar_runner
new_york_city;lake_victoria
crimean_karaites;hudson_bay
tropical_storm_odette_%282003%29;west_bank
erwin_rommel;damascus
wellington;muhammad
honey_bee;the_cat_in_the_hat
crown_jewels_of_the_united_kingdom;american_revolutionary_war
toluene;number
fugu;antarctic_treaty_system
maseru;capacitance
list_of_essential_oils;archaeopteryx
retinol;islamic_republic
history_of_nuclear_weapons;adolf_hitler
damascus;gorilla
hubble_deep_field;musical_instrument
robert_gascoyne-cecil%2c_3rd_marquess_of_salisbury;photosynthesis
antoine_lavoisier;broadcasting
maldives;louis_armstrong
history_of_russia;typewriter
programming_language;country
leonardo_da_vinci;alexander_graham_bell
cane_toad;benin
karl_benz;nuclear_power
dove;portuguese_language
educational_psychology;thulium
rhodium;renaissance
hafnium;alexander_the_great
lake_titicaca;east_flemish
england;scotland
middle_ages;eastenders
turkey_%28bird%29;parthenon
wave;fertile_crescent
scotland;drawing
principality;the_hague
printmaking;stroke
mario;super_mario_bros.
charles_darwin;cheese
sony;h_ii_region
marie_curie;the_beatles_discography
human_dignity;glasses
turkish_literature;british_virgin_islands
hubble_deep_field;accra
central_african_republic;flag_of_south_africa
tanzania;james_ii_of_england
age_of_enlightenment;yeast
local_government_in_the_united_kingdom;united_states_declaration_of_independence
pride_and_prejudice;james_buchanan
telecommunication;costa_rica
barbados;buddha
mauritania;ultraviolet
sequoia;arctic_tern
eye;owl
joseph_haydn;maya_civilization
ralph_nader;karl_marx
batman;fertilizer
jet_engine;pelycosaur
famine;henry_purcell
lyndon_b._johnson;owl
dna_repair;suriname
music;zebra
b_vitamins;leon_trotsky
romeo_and_juliet;lead
amazon_parrot;italy
new_zealand;macau
decade_volcanoes;ship
vancouver;vertebrate
omega-3_fatty_acid;chew_valley
peace;war
libertarianism;joan_of_arc
lord_voldemort;salsa_music
israel;government
diego_vel%c3%a1zquez;lake_tanganyika
jew;adolf_hitler
cerebellum;sierra_leone
auto_racing;hurricane_lenny
charles_sumner;hippopotamus
brunei;maputo
rapping;athens
4th_century;nitrogen_fixation
abbot;zachary_taylor
marcus_allen;airbus_a380
gliese_876_d;harry_s._truman
saladin;amazon_parrot
celery;ecology
music_of_new_zealand;calligraphy
judaism;royal_navy
eagle_scout_%28boy_scouts_of_america%29;glass
netherlands;elizabeth_i_of_england
nazi_germany;western_front_%28world_war_i%29
cross_fell;mexico_city
plum;eastern_orthodox_church
kiribati;guglielmo_marconi
basilica_of_santa_maria_degli_angeli;sucre
anarcho-capitalism;malawi
yorkshire_dales;roman_catholic_church
phonograph_cylinder;london_underground
oregon;kazakhstan
star;tribe
volcano;tex
meteorology;ultraviolet
family;alcohol
british_english;jan_mayen
mars;marseille
astrology;yuri_gagarin
anatomy;george_w._bush
gallium;athena
ethics;brunei
talc;education
miles_davis;seattle%2c_washington
4-6-0;julius_caesar
ukulele;berber_languages
mole_%28animal%29;ipod
battle_of_britain;carl_jung
anne_frank;english_language
fish;bill_clinton
el_salvador;benin
jesus;gottfried_leibniz
global_warming;antarctic_krill
iraq;michael_jordan
imperative_programming;saint_petersburg
romeo_and_juliet;buckingham_palace
jazz;north_america
lavender;baseball
baseball;afghan_hound
samoa;family
apollo_8;flag_of_the_republic_of_china
decade_volcanoes;fruit
salt;cassowary
united_malays_national_organisation;1st_century_bc
tornado;3_juno
infrastructure;ireland
selenium;heron
dundee;special_relativity
botswana;herodotus
louis_jordan;yttrium
chocolate;president_of_the_united_states
soybean;romeo_and_juliet
kenya;metamorphic_rock
granite;diamond
wood_fuel;richard_wagner
popular_culture;history_of_computing_hardware
quantum_mechanics;british_isles
effects_of_nuclear_explosions;iguanodon
catherine_ii_of_russia;bouvet_island
fossil;agriculture
germanium;dune
goose;pythagoras
dmitri_mendeleev;4_vesta
irish_people;common_eland
virus;james_joyce
india;norway
fermi_paradox;visual_arts
basil;africa
battle_of_bicocca;frederick_ii%2c_holy_roman_emperor
northern_ireland;haiti
rabbit;u.s._state
fishing;judaism
fed_cup;honduras
lake_turkana;phase_%28matter%29
bat-eared_fox;abbot
genetics;the_origin_of_species
nuclear_weapon;moon_landing
allegory_in_the_middle_ages;anarchism
netherlands_antilles;korea
bat-eared_fox;yeti
list_of_european_union_member_states_by_accession;quetzalcoatl
cuba;nintendo
himalayas;italy
copper;fedora_core
american_popular_music;video
ganesha;birmingham
hutu;bonobo
coin;hanoi
great_pyramid_of_giza;middle_east
mexico;concorde
looney_tunes;spain
cerebellum;political_integration_of_india
gliding;sony
canadian_english;tour_de_france
military_dictatorship;vietnam
president_of_the_united_states;jimmy_carter
ammonite;ak-47
spacecraft_propulsion;united_states_senate
star_trek;tellurium
lake_toba;jurassic
winter;buenos_aires
heraldry;german_reunification
henry_vi_of_england;civilization
pheidippides;river
mauritius;belfast
globe_theatre;organism
fresh_water;wessex
smallpox;roman_catholic_church
a_christmas_carol;carbon
the_brothers_karamazov;tide
lake_tanganyika;strait_of_malacca
palm_oil;louis_jordan
blue_whale;denmark
monaco_grand_prix;bridge
socrates;hanoi
commodore_64;new_delhi
william_butler_yeats;the_waste_land
egypt;christianity
thomas_edison;central_processing_unit
petroleum;basketball
louis_pasteur;geometry
geography_of_india;hinduism
transport;mount_unzen
gnome;porto-novo
tropical_storm_harvey_%282005%29;island_fox
drosera_anglica;conakry
rwandan_genocide;rwanda
iraq;taj_mahal
cereal;nuclear_weapon
elizabeth_fry;god
multiculturalism;gaborone
money;montserrat
alexander_hamilton;neon
ganesha;velociraptor
gerald_ford;henry_ii_of_england
dead_sea;apollo_11
sparrow;soil_science
maya_mythology;electricity
slavic_mythology;differential_equation
privy_council_of_the_united_kingdom;great_barrier_reef
trumpet;great_barrier_reef
patna;north_sea_flood_of_1953
oenothera;city_status_in_the_united_kingdom
citrus;desert
war_and_peace;perl
karl_benz;bay_of_bengal
mark_antony;feather
igor_stravinsky;thrasybulus
sahara;christopher_columbus
common_tern;central_african_republic
internet;human_rights
parliament_of_the_united_kingdom;backgammon
cleopatra_vii;black-backed_jackal
the_broads;cairo
hurricane_dennis;industrial_revolution
economy_of_india;pollution
alchemy;geneva
olympic_games;internet
battle_of_gettysburg;dwight_d._eisenhower
ununpentium;namibia
celtic_park;benjamin_franklin
viking;sculpture
witold_pilecki;time
mario;asteroid
three_gorges_dam;s%c3%a3o_paulo
jurassic;milk
photosynthesis;polonium
columbine_high_school_massacre;ludwig_wittgenstein
horn_of_africa;oviraptor
osaka;hasekura_tsunenaga
pac-man;radar
electron;god
fire;jew
libreville;hunger
cheetah;luxembourg
zinc;gliese_876_c
hurricane_camille;order_of_the_thistle
indian_independence_movement;james_garfield
pelycosaur;hubbard_glacier
vestigial_structure;fundamental_theorem_of_arithmetic
mexico;milton_keynes
olympic_games;cassowary
little_women;nitrogen_fixation
germany;romania
grand_central_terminal;hamburg
maglev_train;flag_of_the_republic_of_china
library_of_congress;eagle
great_barrier_reef;periodic_table
jorge_luis_borges;penguin
serenity_%28film%29;estonia
goose;computer_science
japan;2005_atlantic_hurricane_season
edward_iii_of_england;salt
the_waste_land;van_halen
felix_the_cat;guinea-bissau
concorde;poetry
esperanto;european_parliament
cholera;london_zoo
bull_shark;animal
royal_parks_of_london;16th_century
sweden;andrew_jackson
banjul;england
great_wall_of_china;stonehenge
interpol;television
drought;george_iii_of_the_united_kingdom
glass;indium
koryaksky;amur
ununtrium;hinduism
celtic_f.c.;effect_of_hurricane_katrina_on_new_orleans
william_and_mary;william_and_mary
azerbaijan;washington%2c_d.c.
biodiesel;richard_iii_of_england
compact_disc;flag_of_australia
kolkata;ancient_egypt
chestnut;t._s._eliot
okapi;yom_kippur_war
renormalization;lisbon
norfolk;minnesota
merrimack_river;brass_instrument
hurricane_andrew;mexico_city
alfred_nobel;michigan_state_university
god;data_encryption_standard
world_bank_group;dundee
snowy_owl;sikhism
harold_macmillan;richard_iii_%28play%29
google;glass
norway;grand_canyon
turin;rock_of_gibraltar
temple_of_artemis;mario
democracy;poland
magic__the_gathering;toronto
jesus;ireland
tiananmen_square_protests_of_1989;firearm
history_of_russia;river
korea;north_korea
history_of_computing_hardware;i_want_to_hold_your_hand
niagara_falls;commonwealth_games
list_of_popes;fiji
wood;egyptian_pyramids
dorset;rock_of_gibraltar
chelsea_f.c.;yugoslavia
columbus%2c_ohio;libya
pea;penguin
principality;treaty_of_versailles
the_iron_bridge;chocolate
agriculture;ornithischia
africa;temperate
number;eye
galveston_hurricane_of_1900;albinism
star;walt_whitman
calvin_coolidge;vietnam
corporate_finance;rugby_world_cup
adelaide;rubidium
jamaica;adolf_hitler
ernest_rutherford;grover_cleveland
niue;linux
walrus;christina_aguilera
muhammad_ali_jinnah;arctic
charles_sumner;italian_renaissance
bp;james_d._watson
avalanche;mars_exploration_rover
white-tailed_eagle;immanuel_kant
oil_painting;sesame_street
wales;californium
friedrich_nietzsche;lake_district
21st_century;libreville
iron_maiden;slovenia
indonesia;vegetable
desert;telecommunication
badger;alfred_the_great
list_of_countries;muhammad_ibn_musa_al-khwarizmi
feather;crusades
pernicious_anemia;newcastle_upon_tyne
jakarta;neptune
friedrich_nietzsche;adolf_hitler
child;optical_fiber
invasion_of_grenada;day
christmas_island;lion
7th_century;mahatma_gandhi
kazakhstan;antarctic_treaty_system
music_of_the_lesser_antilles;guinness
tellurium;warren_g._harding
isaac_newton;adolf_hitler
child;dubnium
mercantilism;linux
tea;slovenia
starcraft;wolfgang_amadeus_mozart
creation-evolution_controversy;solar_eclipse
rail_transport_in_india;guild
mary_ii_of_england;special_relativity
supply_chain_management;indus_river
seattle%2c_washington;insect
tornado;hurricane_camille
milan;local_government_in_the_united_kingdom
tupac_shakur;flag_of_india
euclidean_geometry;tree
list_of_popes;apollo_11
gravitation;political_philosophy
ebony;george_h._w._bush
human_dignity;human
royal_navy;marshall_plan
tea;architecture
absinthe;bruce_springsteen
bogot%c3%a1;citrus
mandan;riyadh
currency;charles_babbage
johannes_gutenberg;stuttgart
functional_programming;irish_poetry
grand_canal_of_china;trumpet
novel;comet
mineral;nobelium
game_theory;comet_halley
pneumonia;indian_ocean
ununoctium;penguin
planetary_nebula;pound_sterling
praseodymium;osiris
boeing_747;tashkent
australian_green_tree_frog;mohs_scale_of_mineral_hardness
diamond_cut;george_w._bush
germany;barium
superconductivity;beirut
trout;vietnam
palestinian_territories;zeus
triceratops;strontium
4-4-0;globe_theatre
aardvark;spacecraft_propulsion
european_union;ramayana
angel_shark;the_country_wife
colombia;gliese_876_d
andrew_robinson;mediterranean_sea
summer;light
tiger_shark;world_war_i
esperanto;frog
equal_protection_clause;radio
charles_dickens;zebra_shark
mississippi_river;chlorine
ottawa;swastika
abuja;emirate
drinking_water;rwanda
hasekura_tsunenaga;battle_of_gettysburg
land_%28economics%29;puerto_rico
cape_lion;u2
gas_giant;romania
airbus_a380;corundum
harry_s._truman;attila_the_hun
honey;abraham_lincoln
bbc;advertising
tobacco_smoking;sport
peace;fertilizer
european_parliament;london_underground
chernobyl_disaster;western_front_%28world_war_i%29
harry_potter;christianity
international_human_rights_instruments;london_sewerage_system
tay_rail_bridge;las_vegas%2c_nevada
aberdeen;vampire_bat
eurasian_jay;basil
volcano;e._e._cummings
nutrition;snow_goose
j._r._r._tolkien;middle_east
money;carl_jung
first_macedonian_war;erwin_rommel
sony;ethics
penguin;jesus
bill_clinton;tree
bacteria;sulfur
the_lord_of_the_rings_film_trilogy;world_war_i
the_brothers_karamazov;polonium
history_of_nuclear_weapons;book_of_common_prayer
hawk-eye;buddha
canaletto;antarctica
boston%2c_massachusetts;capitalism
mozilla_firefox;rutherfordium
ann_arbor%2c_michigan;indian_ocean
amazon_basin;protactinium
plato;damascus
basketball;venezuela
lake_mead;climate
crystal;mammal
dakota%2c_minnesota_and_eastern_railroad;leaning_tower_of_pisa
james_cook;civilization
language;river
apatosaurus;dna_repair
baruch_spinoza;gazelle
president_of_the_united_states;sea
william_gilbert;photon
battle_of_stalingrad;imperial_japanese_navy
henry_viii_of_england;beirut
abu_dhabi;craton
jane_austen;great_lakes
greece;paris
card_game;herring_gull
city;libya
wine;benjamin_franklin
pikachu;sun
glass;rhode_island
famine;prostate_cancer
meteorology;svalbard
pig;haiti
intel_corporation;adolf_hitler
wave;tree
material_properties_of_diamond;mediterranean_sea
proton;cookiecutter_shark
egyptian_pyramids;perl
menstrual_cycle;deity
palestinian_territories;macau
korea;anno_domini
dice;space_shuttle_challenger
ichthyosaur;antonio_vivaldi
sumac;feather
turmeric;the_dandy
police;spanish_inquisition
lettuce;sunlight
constantine_ii_of_scotland;agriculture
miami%2c_florida;united_states_senate
ireland;peter_grimes
congo_river;great_britain
fossil_fuel;african_grey_parrot
canterbury_cathedral;quartz
paris;american_football
cat_stevens;super_chief
giant_panda;erwin_rommel
sulfuric_acid;kargil_war
lake_titicaca;abel_tasman
salford;drinking_water
salt;speed_of_light
pakistan;gossypium
button;working_poor
rms_titanic;buckingham_palace
space_invaders;charles_v%2c_holy_roman_emperor
shielded_metal_arc_welding;edema
praseodymium;oregon
sweden;aberystwyth
mahmoud_abbas;september_11%2c_2001_attacks
abadan;civilization
otter;hong_kong
stargate_sg-1;star_trek
applied_mathematics;martin_luther_king%2c_jr.
lovage;autumn
animal;sound
cryptography;university_of_bristol
love;trench_warfare
pink_pigeon;cardiff
shinto;suez_canal
neptunium;hundred_years%27_war
heat;lima
french_language;allah
ragtime;tooth_development
svalbard;hubble_space_telescope
list_of_u.s._states_by_date_of_statehood;wales
3rd_century;swastika
wren;astatine
leon_trotsky;sun
henry_v_of_england;dixie_mission
camel;david_beckham
nutmeg;space_shuttle_endeavour
zhang_qian;earth%27s_atmosphere
amber;ancient_greece
halfbeak;socrates
trumpet;dance
t-34;blitzkrieg
cretaceous;amur
weed;wales
trichinosis;climate_change
alzheimer%27s_disease;nintendo
force;seoul
taipei;pompeii
attack_on_pearl_harbor;god
beeching_axe;protein
economics;iran
list_of_popes;polonium
television;genetics
talc;lake_superior
people%27s_republic_of_china;sodium
adenosine_triphosphate;coal
crash_test_dummy;jupiter
folklore;quantum_computer
peanut;triceratops
chocolate;the_temptations
formula_one;alcohol
cryptography;ak-47
differential_equation;arnold_schwarzenegger
schizophrenia;alchemy
chemical_synapse;rhythm_and_blues
sahara;barcelona
edward_the_confessor;sermon_on_the_mount
bretton_woods_system;human
united_kingdom;emu
shroud_of_turin;zeus
fluorine;henry_ii_of_england
desmond_tutu;gold
epazote;evolution
universe;unix
barium;yemen
bulgaria;oregano
history_of_new_jersey;blue_whale
actor;egyptian_pyramids
nairobi;drosophila_melanogaster
pound_sterling;drinking_water
rwanda;tropical_storm_delta_%282005%29
arctic_circle;william_shakespeare
biofuel;thomas_cranmer
french_revolution;calcium
newark%2c_new_jersey;vietnam
charlie_chaplin;hundred_years%27_war
periodic_table;palestinian_territories
dog;chocolate
ice_hockey;finance
henri_matisse;alcohol
stock_car_%28rail%29;yak
adolf_hitler;nintendo
weimar_republic;alfred_the_great
onion;china
bryce_canyon_national_park;political_science
vancouver;toronto
israel;chess
aksumite_currency;the_lion_king
lesotho;last_supper
world_wide_web;reggaeton
william_shakespeare;electron
able_archer_83;space_shuttle_endeavour
vinaya;francis_drake
noam_chomsky;wallaby
pyramid;northwest_africa
coconut_crab;aberration_of_light
cello;airbus
james_monroe;hurricane_katrina
flag_of_hong_kong;river_thames
ultraviolet;thomas_aquinas
ammosaurus;compact_disc
weed;bretton_woods_system
khudai_khidmatgar;water
abraham_lincoln;banana
sound;elementary_arithmetic
edmund_burke;polymerase_chain_reaction
falcon;leonardo_da_vinci
harold_macmillan;victoria_of_the_united_kingdom
parliament_of_malaysia;canada
intel_corporation;suriname
global_warming;silent_film
enigma_machine;arctic_ocean
tamil_language;blackpool
earl_of_shaftesbury;fish
dik-dik;bean
orbit_%28anatomy%29;columbus%2c_ohio
inca_empire;norway
michigan_state_university;eagle_scout_%28boy_scouts_of_america%29
axe;czech_republic
oxford;nuclear_weapon
john_flamsteed;hassium
ceratopsidae;russian_revolution_of_1917
alice%27s_adventures_in_wonderland;adolf_hitler
cocoa;moon
hurricane_andrew;fyodor_dostoevsky
pinworm;petroleum
puerto_rico;che_guevara
arnold_schwarzenegger;lima
fascism;ozone
sonic_the_hedgehog_%28character%29;cancer
mass_media;george_washington
topology;kuiper_belt
arctic_ocean;investment_banking
plutonium;adolf_hitler
desmond_tutu;mediterranean_sea
the_x-files;rutherfordium
gold;snow
earth;croatia
minimum_wage;canada_goose
history_of_the_world;napoleon_i_of_france
gyeongju;snowy_owl
c._s._lewis;turin
blacktip_reef_shark;new_delhi
linguistics;bromine
cyberpunk;roman_empire
frederick_douglass;wallaby
economy_of_the_iroquois;helium
holmium;guangzhou
beer;park
tropical_storm_zeta_%282005%29;red_giant
chennai;sun
jane_fonda;odin
common_cold;istanbul
seed;fyodor_dostoevsky
william_iii_of_england;flat_earth
the_temptations;invertebrate
svalbard;art
telephone;bulgaria
iron;alchemy
lion;layla
textile;qin_dynasty
washington_metro;harold_macmillan
canaletto;ming_dynasty
trinity_college%2c_cambridge;slavery
polymerase_chain_reaction;linear_algebra
nauru;dark_ages
brachiosaurus;accra
dixie_mission;citrus
baboon;nintendo
frederick_ii_of_prussia;weapon
abstract_art;american_civil_war
madrid;sahara
tay-sachs_disease;manila
jan_mayen;odysseus
mercury_%28planet%29;china
iron_maiden;goose
rail_transport;lead
negros_oriental;multiculturalism
pig;boron
theodore_roosevelt;danube
palladium;giuseppe_verdi
liberalism;lighting_designer
space_shuttle_challenger_disaster;fruit
ho_chi_minh_city;beijing
space_station;fair_isle
aids;palestinian_territories
business;henrik_ibsen
carl_lewis;garden
education;boat
ramesses_ii;ytterbium
london_sewerage_system;abbey
tanzania;cornell_university
bromine;johannes_kepler
first_transcontinental_railroad;andy_warhol
the_pilgrim%27s_progress;electric_field
evolutionarily_stable_strategy;george_v_of_the_united_kingdom
fire;rss_%28file_format%29
columbus%2c_ohio;bible
sleep;decade_volcanoes
islamic_republic;google
wikinews;cape_verde
iron_age;periodic_table
samuel_beckett;polar_ice_cap
weapon;vegetation
watch;trade_union
beer;bread
apollo_11;florence_nightingale
neodymium;civil_rights
ivory-billed_woodpecker;milk
fox;virus
screw;edible_salt
autumn;visual_arts
metal;tin%28ii%29_chloride
milky_way;dolphin
marie_curie;cape_horn
jesus;moon
cereal;nitrogen
bhutan;history_of_greece
scottish_mythology;diamond_simulant
canadian_english;louisville%2c_kentucky
george_fox;scientific_classification
animal_law;turks_and_caicos_islands
mark_twain;dna_repair
paul_kane;latin
poetry_of_the_united_states;red_dwarf
crow;ice_hockey
16th_century;south_ossetia
all_blacks;evolution
11th_century;plum
egyptian_pyramids;tokyo
death_valley_national_park;vampire
danske_statsbaner;oregon
henry_vi_of_england;france
montserrat;lyon
arnold_schwarzenegger;tel_aviv
pride_and_prejudice;dolphin
hip_hop_music;john_cabot
walt_disney;piano
taj_mahal;bouvet_island
albert_einstein;niels_bohr
soil_moisture;dublin
tarragon;biosphere
john_f._kennedy_assassination;vitamin_c
functional_programming;white-tailed_eagle
harley-davidson;landform
latvia;alfred_nobel
morocco;saxophone
paraguay;prr_gg1
fertilizer;pablo_picasso
great_moravia;star_wars_episode_iv__a_new_hope
milan;the_wall_street_journal
lake_chad;soil_science
cod;planet
order_of_the_bath;olympic_games
arable_land;1928_okeechobee_hurricane
cave;abu_dhabi
wikipedia;amsterdam
richard_iii_of_england;gold%28iii%29_chloride
franklin_d._roosevelt;electric_field
new_york_city;nottingham
venus;south_georgia_and_the_south_sandwich_islands
great_cormorant;hurricane_charley
eskimo;panama
gas_metal_arc_welding;3rd_century
painting;first_transcontinental_railroad
peru;mumbai
douglas_adams;persian_gulf
united_states_senate;eyelid
badger;hungary
franklin_d._roosevelt;astrology
william_hogarth;1973_oil_crisis
washington_metro;odyssey
nintendo_ds;united_states_house_of_representatives
history_of_nuclear_weapons;space_station
box_jellyfish;egg_%28food%29
dido_and_aeneas;conakry
earth%27s_atmosphere;hippopotamus
isis;data_encryption_standard
pompeii;pacific_ocean
federal_bureau_of_investigation;isaac_brock
sesame;parthenon
batman;penguin
serbia;u2
red_rain_in_kerala;retina
liberal_democrats;the_rolling_stones
chimpanzee;antarctica
weather;missouri_river
katana;jesus
suez_canal;tony_blair
tashkent;new_forest
alchemy;attack_on_pearl_harbor
curium;elizabeth_i_of_england
finland;lawn
rock_pigeon;day
mars;eurasian_eagle_owl
pluto;spring_%28season%29
chlorine;comet
economics;gravitation
florida_east_coast_railway;acceleration
san_diegan;sodium
tungsten;yangtze_river
triumph_of_the_will;australian_open
giza_pyramid_complex;oviraptor
sputnik_1;wasabi
lost_%28tv_series%29;the_gambia
sociology;romeo_and_juliet
kansas_city%2c_missouri;qin_shi_huang
gnu;augustine_of_hippo
actinium;strontium
hindi;roman_road
greece;rome
gerald_ford;rotterdam
almaty;shining_path
quantum_mechanics;fascism
boolean_logic;pope_john_paul_ii
lake_powell;republic_of_macedonia
cheese;television
apollo;madama_butterfly
sea;passenger_pigeon
mammoth;alternating_current
australian_green_tree_frog;gas_metal_arc_welding
india;sheikh_mujibur_rahman
william_tecumseh_sherman;washington_metro
helen;sound
1973_oil_crisis;sassanid_empire
john_locke;lighting_designer
banknote;cat
asteroid;physics
frog;hebrides
robert_owen;swastika
boa;australia
statistics;book
mississippi_river;olmec
down_syndrome;palm_oil
chlorine;sea
polar_coordinate_system;musical_instrument
ethanol;tuatara
bob_marley;evolution
edward_iii_of_england;nationalism
crab_nebula;dominican_republic
sumo;volcano
flute;portugal
michelangelo;henry_h._rogers
bertrand_russell;earthquake
swan;mount_everest
roman_catholic_church;calgary
babe_ruth;lithium
swastika;warsaw
parliament_of_the_united_kingdom;linus_torvalds
dominican_republic;southern_united_states
strait_of_malacca;united_kingdom
meteor;roman_mythology
atom;corinthian_war
gas_tungsten_arc_welding;charles_sumner
flemish_people;motion_%28physics%29
aircraft_carrier;new_york_city
london_bridge;malaria
djibouti;robert_boyle
coconut;arctic
celtic_f.c.;nikolai_rimsky-korsakov
mining;wallaby
united_states;canada
list_of_sovereign_states;earth
super_bowl_xl;the_lion_king
the_supremes;computer
william_i_of_england;gregor_mendel
peak_district;isaac
child;sub-saharan_africa
vowel;pope
tokelau;scurvy
rail_transport_in_india;elephant
angel_shark;mineral
mars_reconnaissance_orbiter;persian_gulf
thomas_cranmer;computer_and_video_games
flag_of_the_republic_of_china;13th_century
chelsea_f.c.;kuala_lumpur
tofu;united_kingdom
dominica;uruguay
tiger;mathematics
child;avocado
bonobo;east-west_schism
list_of_elements_by_name;corrosion
halloween;ottawa
4-6-0;day
swan;star_wars_episode_iv__a_new_hope
binoculars;water
leon_trotsky;international_space_station
video;libya
portugal;scotland_in_the_high_middle_ages
mancala;bj%c3%b6rn_borg
cocoa;andy_warhol
necktie;lion
jehovah;romulus_augustus
zimbabwe;musical_instrument
law;seoul
brahman;feldspar
helium;judaism
pearl;river
germanium;mississippi_river
sun_yat-sen;phoenix_%28spacecraft%29
emotion;great_black-backed_gull
czech_republic;european_parliament
nash_equilibrium;edward_jenner
third_servile_war;battle_of_warsaw_%281920%29
african_dwarf_frog;acid_rain
saturn_v;london
douglas_adams;list_of_rivers_by_length
henrik_ibsen;super_mario_bros.
beatles_for_sale;tripoli
devonian;functional_programming
child;chess
milky_way;morocco
asthma;10th_century
royal_air_force;nile
windows_vista;linux
aids;wildebeest
music_of_new_zealand;arnold_schwarzenegger
fox;milan
saturn_v;x_window_system
mammal;german_crusade%2c_1096
anglican_church_of_australia;benjamin_franklin
herbert_hoover;canadian_english
christian_monasticism;education_in_the_united_states
